latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
68.01714,157.87721,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,368.76,246.51,D
68.01768,157.8614,347.04,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,297.61,32.38,D
68.01876,157.91922,354.03,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,323.88,64.0,D
68.01926,157.90331,355.79,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,325.76,52.03,D
68.01976,157.88733,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,341.03,246.51,D
68.02027,157.87141,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,325.98,413.89,D
68.02134,157.92918,354.68,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.13,163.27,D
68.02185,157.91333,354.98,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,323.59,52.03,D
68.02237,157.89742,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,338.67,52.03,D
68.02287,157.8815,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,375.84,413.89,D
68.02339,157.86565,351.62,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,294.39,413.89,D
68.02495,157.90742,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,333.71,52.03,D
68.02547,157.89157,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,375.54,0.0,D
68.02599,157.87569,355.76,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,296.96,413.89,D
68.02753,157.91745,355.82,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,296.44,40.94,D
68.02805,157.90161,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,366.95,0.0,D
68.02859,157.88577,349.47,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.17,0.0,D
68.03117,157.89581,316.41,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,323.16,0.0,D
68.03171,157.87999,350.07,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,291.79,14.89,D
68.03378,157.90591,346.44,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.38,243.34,D
68.0343,157.89006,354.49,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,292.61,14.89,D
68.03691,157.90018,355.4,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,283.26,131.1,D
68.03899,157.92612,367.0,0.5,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,325.54,151.09,D
68.0416,157.93623,348.97,0.5,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,282.45,151.09,D
68.04206,161.52997,337.51,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,299.87,6.05,D
68.044,161.50157,349.71,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,301.12,4.64,D
68.04414,161.53918,340.94,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,300.42,6.05,D
68.04473,157.93054,349.79,0.5,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,279.06,224.06,D
68.04494,161.48732,337.92,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.24,6.39,D
68.04607,161.5108,334.42,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.33,4.64,D
68.04704,161.49658,329.95,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,297.43,4.64,D
68.05009,161.49159,346.87,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.64,23.16,D
68.05634,161.51927,333.04,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.17,6.61,D
68.05941,161.51433,338.15,0.44,0.39,2025-07-31,35,N20,VIIRS,n,2.0NRT,297.79,6.61,D
64.21097,135.81004,328.23,0.68,0.74,2025-07-31,37,N20,VIIRS,n,2.0NRT,271.4,7.09,D
66.67779,145.50681,345.4,0.33,0.56,2025-07-31,37,N20,VIIRS,n,2.0NRT,297.32,4.24,D
66.67861,145.49678,367.0,0.33,0.56,2025-07-31,37,N20,VIIRS,h,2.0NRT,298.85,11.1,D
66.6794,145.49269,345.23,0.33,0.56,2025-07-31,37,N20,VIIRS,n,2.0NRT,297.1,4.24,D
66.68054,145.50145,354.67,0.33,0.56,2025-07-31,37,N20,VIIRS,n,2.0NRT,295.5,10.95,D
66.68137,145.49747,346.37,0.33,0.56,2025-07-31,37,N20,VIIRS,n,2.0NRT,293.56,4.24,D
66.71577,141.71452,367.0,0.39,0.59,2025-07-31,37,N20,VIIRS,h,2.0NRT,292.44,8.07,D
66.71857,141.72054,325.95,0.39,0.59,2025-07-31,37,N20,VIIRS,n,2.0NRT,290.71,8.07,D
66.71917,141.7036,356.42,0.39,0.59,2025-07-31,37,N20,VIIRS,l,2.0NRT,289.85,6.28,D
66.7408,141.75009,329.01,0.39,0.59,2025-07-31,37,N20,VIIRS,n,2.0NRT,288.08,3.92,D
66.74499,141.72264,351.18,0.39,0.59,2025-07-31,37,N20,VIIRS,n,2.0NRT,292.33,5.29,D
